dimension,mutation rate,cross over rate,pxa,pxb,pxc,pxp
1,0.2,0.1,0.24721,0.24872,0.25072,0.25335
1,0.6,0.1,0.24892,0.25113,0.24817,0.25178
1,1,0.1,0.24818,0.25038,0.25198,0.24946
,,,,,,
1,0.2,0.4,0.25008,0.2511,0.24953,0.24929
,,,,,,
1,0.6,0.4,0.25142,0.24667,0.25141,0.2505
,,,,,,
1,1,0.4,0.25022,0.25027,0.25073,0.24878
,,,,,,
1,0.2,0.7,0.24988,0.2486,0.25211,0.24941
,,,,,,
1,0.6,0.7,0.24971,0.25277,0.25035,0.24717
,,,,,,
1,1,0.7,0.25017,0.25076,0.25001,0.24906
,,,,,,
2,0.2,0.1,0.24983,0.24931,0.25123,0.24963
,,,,,,
2,0.6,0.1,0.25083,0.24907,0.24945,0.25065
,,,,,,
2,1,0.1,0.25075,0.25094,0.25025,0.24806
,,,,,,
2,0.2,0.4,0.24872,0.2523,0.24943,0.24955
,,,,,,
2,0.6,0.4,0.2505,0.24993,0.24999,0.24958
,,,,,,
2,1,0.4,0.24839,0.2529,0.24824,0.25047
,,,,,,
2,0.2,0.7,0.2518,0.24972,0.24891,0.24957
,,,,,,
2,0.6,0.7,0.25094,0.24956,0.25075,0.24875
,,,,,,
2,1,0.7,0.25122,0.24792,0.25035,0.25051
,,,,,,
3,0.2,0.1,0.25316,0.24845,0.24953,0.24886
,,,,,,
3,0.6,0.1,0.24795,0.25054,0.25037,0.25114
,,,,,,
3,1,0.1,0.24896,0.24823,0.25198,0.25083
,,,,,,
3,0.2,0.4,0.25117,0.24936,0.24853,0.25094
,,,,,,
3,0.6,0.4,0.24833,0.2523,0.24899,0.25038
,,,,,,
3,1,0.4,0.25112,0.2487,0.25135,0.24883
,,,,,,
3,0.2,0.7,0.25213,0.24714,0.2497,0.25103
,,,,,,
3,0.6,0.7,0.25269,0.24834,0.24988,0.24909
,,,,,,
3,1,0.7,0.25049,0.24983,0.24926,0.25042
,,,,,,
4,0.2,0.1,0.24802,0.2507,0.2507,0.25058
,,,,,,
4,0.6,0.1,0.25191,0.25076,0.24998,0.24735
,,,,,,
4,1,0.1,0.25198,0.24959,0.24948,0.24895
,,,,,,
4,0.2,0.4,0.24818,0.25137,0.25191,0.24854
,,,,,,
4,0.6,0.4,0.24946,0.25079,0.24879,0.25096
,,,,,,
4,1,0.4,0.24722,0.24943,0.25097,0.25238
,,,,,,
4,0.2,0.7,0.24894,0.24907,0.25174,0.25025
,,,,,,
4,0.6,0.7,0.24735,0.25024,0.25048,0.25193
,,,,,,
4,1,0.7,0.24925,0.2483,0.25267,0.24978
,,,,,,
5,0.2,0.1,0.25028,0.24847,0.25095,0.2503
,,,,,,
5,0.6,0.1,0.24896,0.25312,0.2481,0.24982
,,,,,,
5,1,0.1,0.25208,0.248,0.25105,0.24887
,,,,,,
5,0.2,0.4,0.25125,0.25007,0.2491,0.24958
,,,,,,
5,0.6,0.4,0.2506,0.24856,0.25031,0.25053
,,,,,,
5,1,0.4,0.25168,0.24916,0.25064,0.24852
,,,,,,
5,0.2,0.7,0.25155,0.2499,0.24949,0.24906
,,,,,,
5,0.6,0.7,0.25103,0.25152,0.24665,0.2508
,,,,,,
5,1,0.7,0.25219,0.24936,0.24909,0.24936
,,,,,,
6,0.2,0.1,0.24969,0.25067,0.24938,0.25026
,,,,,,
6,0.6,0.1,0.25072,0.25051,0.24828,0.25049
,,,,,,
6,1,0.1,0.24976,0.2486,0.25223,0.24941
,,,,,,
6,0.2,0.4,0.24859,0.24988,0.25234,0.24919
,,,,,,
6,0.6,0.4,0.25006,0.24932,0.24975,0.25087
,,,,,,
6,1,0.4,0.24749,0.25219,0.24906,0.25126
,,,,,,
6,0.2,0.7,0.24684,0.24952,0.25139,0.25225
,,,,,,
6,0.6,0.7,0.25166,0.246,0.25171,0.25063
,,,,,,
6,1,0.7,0.2522,0.24909,0.24946,0.24925
,,,,,,
7,0.2,0.1,0.24859,0.25051,0.25085,0.25005
,,,,,,
7,0.6,0.1,0.25334,0.24854,0.24876,0.24936
,,,,,,
7,1,0.1,0.24888,0.24963,0.25203,0.24946
,,,,,,
7,0.2,0.4,0.25059,0.25007,0.24892,0.25042
,,,,,,
7,0.6,0.4,0.2508,0.25032,0.24873,0.25015
,,,,,,
7,1,0.4,0.24914,0.24829,0.25084,0.25173
,,,,,,
7,0.2,0.7,0.25098,0.25133,0.24964,0.24805
,,,,,,
7,0.6,0.7,0.24964,0.2511,0.2499,0.24936
,,,,,,
7,1,0.7,0.24761,0.25086,0.25039,0.25114
,,,,,,
8,0.2,0.1,0.25277,0.24967,0.24798,0.24958
,,,,,,
8,0.6,0.1,0.24831,0.24748,0.25175,0.25246
,,,,,,
8,1,0.1,0.24956,0.25085,0.25031,0.24928
,,,,,,
8,0.2,0.4,0.24922,0.24822,0.25192,0.25064
,,,,,,
8,0.6,0.4,0.25025,0.24839,0.25206,0.2493
,,,,,,
8,1,0.4,0.24951,0.25097,0.24802,0.2515
,,,,,,
8,0.2,0.7,0.25205,0.24811,0.24925,0.25059
,,,,,,
8,0.6,0.7,0.24737,0.25123,0.24944,0.25196
,,,,,,
8,1,0.7,0.25053,0.24846,0.25035,0.25066
,,,,,,
9,0.2,0.1,0.24918,0.24906,0.24878,0.25298
,,,,,,
9,0.6,0.1,0.24935,0.25237,0.25105,0.24723
,,,,,,
9,1,0.1,0.2489,0.24921,0.2511,0.25079
,,,,,,
9,0.2,0.4,0.24742,0.25053,0.25148,0.25057
,,,,,,
9,0.6,0.4,0.24946,0.24997,0.24993,0.25064
,,,,,,
9,1,0.4,0.2499,0.25083,0.24997,0.2493
,,,,,,
9,0.2,0.7,0.25102,0.24875,0.25316,0.24707
,,,,,,
9,0.6,0.7,0.24961,0.24893,0.25083,0.25063
,,,,,,
9,1,0.7,0.24934,0.24834,0.25089,0.25143
,,,,,,
10,0.2,0.1,0.2505,0.25011,0.24831,0.25108
,,,,,,
10,0.6,0.1,0.2481,0.2507,0.25047,0.25073
,,,,,,
10,1,0.1,0.24984,0.25078,0.25009,0.24929
,,,,,,
10,0.2,0.4,0.25118,0.24875,0.24931,0.25076
,,,,,,
10,0.6,0.4,0.25163,0.25169,0.24895,0.24773
,,,,,,
10,1,0.4,0.24922,0.24863,0.25402,0.24813
,,,,,,
10,0.2,0.7,0.25031,0.25027,0.24777,0.25165
,,,,,,
10,0.6,0.7,0.25041,0.25114,0.25031,0.24814
,,,,,,
10,1,0.7,0.25231,0.25132,0.24817,0.2482
,,,,,,
11,0.2,0.1,0.25068,0.24846,0.24753,0.25333
,,,,,,
11,0.6,0.1,0.24838,0.25174,0.24695,0.25293
,,,,,,
11,1,0.1,0.25072,0.25009,0.251,0.24819
,,,,,,
11,0.2,0.4,0.24945,0.25151,0.25152,0.24752
,,,,,,
11,0.6,0.4,0.25094,0.25156,0.25243,0.24507
,,,,,,
11,1,0.4,0.2511,0.24966,0.24893,0.25031
,,,,,,
11,0.2,0.7,0.24866,0.25093,0.25057,0.24984
,,,,,,
11,0.6,0.7,0.24847,0.2516,0.2477,0.25223
,,,,,,
11,1,0.7,0.2515,0.24939,0.25057,0.24854
,,,,,,
12,0.2,0.1,0.24865,0.25065,0.25067,0.25003
,,,,,,
12,0.6,0.1,0.25079,0.25078,0.25048,0.24795
,,,,,,
12,1,0.1,0.2494,0.24903,0.25075,0.25082
,,,,,,
12,0.2,0.4,0.24664,0.25148,0.25162,0.25026
,,,,,,
12,0.6,0.4,0.25137,0.2522,0.24991,0.24652
,,,,,,
12,1,0.4,0.2502,0.24898,0.24907,0.25175
,,,,,,
12,0.2,0.7,0.25112,0.25064,0.24979,0.24845
,,,,,,
12,0.6,0.7,0.24976,0.24959,0.25161,0.24904
,,,,,,
12,1,0.7,0.24931,0.25235,0.24857,0.24977
,,,,,,
13,0.2,0.1,0.24861,0.24917,0.25111,0.25111
,,,,,,
13,0.6,0.1,0.25013,0.25117,0.24993,0.24877
,,,,,,
13,1,0.1,0.25022,0.24881,0.2516,0.24937
,,,,,,
13,0.2,0.4,0.24995,0.24915,0.2485,0.2524
,,,,,,
13,0.6,0.4,0.24982,0.25057,0.25035,0.24926
,,,,,,
13,1,0.4,0.24928,0.24886,0.25045,0.25141
,,,,,,
13,0.2,0.7,0.24963,0.24968,0.24964,0.25105
,,,,,,
13,0.6,0.7,0.24897,0.24938,0.25181,0.24984
,,,,,,
13,1,0.7,0.2498,0.24988,0.251,0.24932
,,,,,,
14,0.2,0.1,0.25107,0.24868,0.24983,0.25042
,,,,,,
14,0.6,0.1,0.25049,0.25068,0.24853,0.2503
,,,,,,
14,1,0.1,0.24914,0.24942,0.25062,0.25082
,,,,,,
14,0.2,0.4,0.25038,0.24709,0.25209,0.25044
,,,,,,
14,0.6,0.4,0.24978,0.25201,0.24748,0.25073
,,,,,,
14,1,0.4,0.24984,0.24986,0.2503,0.25
,,,,,,
14,0.2,0.7,0.24762,0.25008,0.25277,0.24953
,,,,,,
14,0.6,0.7,0.25155,0.24853,0.25063,0.24929
,,,,,,
14,1,0.7,0.25065,0.25017,0.25038,0.2488
,,,,,,
15,0.2,0.1,0.25193,0.25011,0.24884,0.24912
,,,,,,
15,0.6,0.1,0.2479,0.25036,0.25317,0.24857
,,,,,,
15,1,0.1,0.25054,0.24917,0.24938,0.25091
,,,,,,
15,0.2,0.4,0.24608,0.25175,0.24971,0.25246
,,,,,,
15,0.6,0.4,0.24848,0.25108,0.24994,0.2505
,,,,,,
15,1,0.4,0.24927,0.25068,0.25051,0.24954
,,,,,,
15,0.2,0.7,0.24905,0.25066,0.25015,0.25014
,,,,,,
15,0.6,0.7,0.24977,0.25019,0.25112,0.24892
,,,,,,
15,1,0.7,0.25109,0.24785,0.25071,0.25035
,,,,,,
16,0.2,0.1,0.24971,0.24982,0.25153,0.24894
,,,,,,
16,0.6,0.1,0.25053,0.25056,0.24841,0.2505
,,,,,,
16,1,0.1,0.25046,0.24844,0.24973,0.25137
,,,,,,
16,0.2,0.4,0.24885,0.25181,0.24943,0.24991
,,,,,,
16,0.6,0.4,0.25029,0.24918,0.2518,0.24873
,,,,,,
16,1,0.4,0.252,0.25132,0.24988,0.2468
,,,,,,
16,0.2,0.7,0.25008,0.24828,0.25101,0.25063
,,,,,,
16,0.6,0.7,0.24934,0.2503,0.24995,0.25041
,,,,,,
16,1,0.7,0.25253,0.24846,0.24832,0.25069
,,,,,,
17,0.2,0.1,0.2492,0.24973,0.25058,0.25049
,,,,,,
17,0.6,0.1,0.24965,0.24857,0.25142,0.25036
,,,,,,
17,1,0.1,0.25105,0.24797,0.25117,0.24981
,,,,,,
17,0.2,0.4,0.24819,0.25181,0.25036,0.24964
,,,,,,
17,0.6,0.4,0.251,0.25302,0.24863,0.24735
,,,,,,
17,1,0.4,0.24924,0.25107,0.25079,0.2489
,,,,,,
17,0.2,0.7,0.24759,0.25022,0.24857,0.25362
,,,,,,
17,0.6,0.7,0.24903,0.24981,0.25019,0.25097
,,,,,,
17,1,0.7,0.25116,0.24979,0.24817,0.25088
,,,,,,
18,0.2,0.1,0.24952,0.25013,0.24866,0.25169
,,,,,,
18,0.6,0.1,0.24741,0.25218,0.24908,0.25133
,,,,,,
18,1,0.1,0.2504,0.24988,0.25051,0.24921
,,,,,,
18,0.2,0.4,0.24984,0.25047,0.25005,0.24964
,,,,,,
18,0.6,0.4,0.24965,0.25107,0.24964,0.24964
,,,,,,
18,1,0.4,0.2497,0.24866,0.24974,0.2519
,,,,,,
18,0.2,0.7,0.25169,0.24774,0.25002,0.25055
,,,,,,
18,0.6,0.7,0.24915,0.25028,0.25105,0.24952
,,,,,,
18,1,0.7,0.24781,0.25262,0.24961,0.24996
,,,,,,
19,0.2,0.1,0.25025,0.24873,0.25108,0.24994
,,,,,,
19,0.6,0.1,0.24897,0.25045,0.25162,0.24896
,,,,,,
19,1,0.1,0.24964,0.25077,0.25051,0.24908
,,,,,,
19,0.2,0.4,0.24849,0.25145,0.24939,0.25067
,,,,,,
19,0.6,0.4,0.25045,0.25081,0.24891,0.24983
,,,,,,
19,1,0.4,0.24968,0.25071,0.24998,0.24963
,,,,,,
19,0.2,0.7,0.24926,0.25118,0.25006,0.2495
,,,,,,
19,0.6,0.7,0.25016,0.25077,0.24907,0.25
,,,,,,
19,1,0.7,0.24809,0.25117,0.25169,0.24905
,,,,,,
20,0.2,0.1,0.24908,0.25301,0.24874,0.24917
,,,,,,
20,0.6,0.1,0.2495,0.24874,0.25038,0.25138
,,,,,,
20,1,0.1,0.25012,0.2479,0.25033,0.25165
,,,,,,
20,0.2,0.4,0.25116,0.2489,0.25071,0.24923
,,,,,,
20,0.6,0.4,0.25003,0.25147,0.24941,0.24909
,,,,,,
20,1,0.4,0.25087,0.25164,0.24809,0.2494
,,,,,,
20,0.2,0.7,0.24682,0.25167,0.2524,0.24911
,,,,,,
20,0.6,0.7,0.24992,0.24924,0.25039,0.25045
,,,,,,
20,1,0.7,0.25157,0.24654,0.25218,0.24971
,,,,,,
21,0.2,0.1,0.25002,0.24791,0.25012,0.25195
,,,,,,
21,0.6,0.1,0.2489,0.24842,0.25206,0.25062
,,,,,,
21,1,0.1,0.24978,0.24953,0.25065,0.25004
,,,,,,
21,0.2,0.4,0.25172,0.25026,0.25067,0.24735
,,,,,,
21,0.6,0.4,0.24988,0.25113,0.248,0.25099
,,,,,,
21,1,0.4,0.2528,0.24848,0.24917,0.24955
,,,,,,
21,0.2,0.7,0.24942,0.25106,0.24937,0.25015
,,,,,,
21,0.6,0.7,0.24946,0.25228,0.24902,0.24924
,,,,,,
21,1,0.7,0.2483,0.25109,0.25017,0.25044
,,,,,,
22,0.2,0.1,0.25145,0.24905,0.24899,0.25051
,,,,,,
22,0.6,0.1,0.24979,0.24966,0.24979,0.25076
,,,,,,
22,1,0.1,0.25309,0.24913,0.25057,0.24721
,,,,,,
22,0.2,0.4,0.24845,0.25106,0.24824,0.25225
,,,,,,
22,0.6,0.4,0.24964,0.25015,0.2498,0.25041
,,,,,,
22,1,0.4,0.252,0.25064,0.24777,0.24959
,,,,,,
22,0.2,0.7,0.25171,0.24759,0.24985,0.25085
,,,,,,
22,0.6,0.7,0.25138,0.24935,0.2491,0.25017
,,,,,,
22,1,0.7,0.25176,0.25208,0.24787,0.24829
,,,,,,
23,0.2,0.1,0.24941,0.25053,0.24766,0.2524
,,,,,,
23,0.6,0.1,0.24898,0.24845,0.24934,0.25323
,,,,,,
23,1,0.1,0.2525,0.24945,0.24792,0.25013
,,,,,,
23,0.2,0.4,0.24971,0.24912,0.25146,0.24971
,,,,,,
23,0.6,0.4,0.24912,0.24839,0.25044,0.25205
,,,,,,
23,1,0.4,0.25041,0.24848,0.2512,0.24991
,,,,,,
23,0.2,0.7,0.251,0.24876,0.24903,0.25121
,,,,,,
23,0.6,0.7,0.25125,0.24787,0.25098,0.2499
,,,,,,
23,1,0.7,0.24954,0.25,0.25042,0.25004
,,,,,,
24,0.2,0.1,0.24994,0.2496,0.24928,0.25118
,,,,,,
24,0.6,0.1,0.24778,0.24837,0.2544,0.24945
,,,,,,
24,1,0.1,0.25289,0.24802,0.24812,0.25097
,,,,,,
24,0.2,0.4,0.24996,0.24982,0.25051,0.24971
,,,,,,
24,0.6,0.4,0.24929,0.24941,0.25112,0.25018
,,,,,,
24,1,0.4,0.24843,0.25324,0.25064,0.24769
,,,,,,
24,0.2,0.7,0.25124,0.24834,0.25203,0.24839
,,,,,,
24,0.6,0.7,0.2508,0.24862,0.2514,0.24918
,,,,,,
24,1,0.7,0.24954,0.25103,0.25025,0.24918
,,,,,,
25,0.2,0.1,0.24945,0.25083,0.24894,0.25078
,,,,,,
25,0.6,0.1,0.24822,0.25206,0.24958,0.25014
,,,,,,
25,1,0.1,0.24695,0.25109,0.24997,0.25199
,,,,,,
25,0.2,0.4,0.2507,0.24946,0.2502,0.24964
,,,,,,
25,0.6,0.4,0.25056,0.24803,0.25137,0.25004
,,,,,,
25,1,0.4,0.25017,0.24935,0.24891,0.25157
,,,,,,
25,0.2,0.7,0.25193,0.24795,0.25111,0.24901
,,,,,,
25,0.6,0.7,0.25256,0.24604,0.25018,0.25122
,,,,,,
25,1,0.7,0.25006,0.25035,0.25027,0.24932
,,,,,,
26,0.2,0.1,0.24864,0.25085,0.24894,0.25157
,,,,,,
26,0.6,0.1,0.24943,0.25144,0.25011,0.24902
,,,,,,
26,1,0.1,0.25129,0.24979,0.24878,0.25014
,,,,,,
26,0.2,0.4,0.24994,0.24921,0.24952,0.25133
,,,,,,
26,0.6,0.4,0.24868,0.25091,0.25086,0.24955
,,,,,,
26,1,0.4,0.25099,0.25042,0.24777,0.25082
,,,,,,
26,0.2,0.7,0.25241,0.248,0.24879,0.2508
,,,,,,
26,0.6,0.7,0.24831,0.2497,0.25235,0.24964
,,,,,,
26,1,0.7,0.25011,0.24959,0.25087,0.24943
,,,,,,
27,0.2,0.1,0.25113,0.25039,0.24854,0.24994
,,,,,,
27,0.6,0.1,0.24714,0.2526,0.25171,0.24855
,,,,,,
27,1,0.1,0.25214,0.25051,0.249,0.24835
,,,,,,
27,0.2,0.4,0.25051,0.24944,0.25247,0.24758
,,,,,,
27,0.6,0.4,0.251,0.24821,0.24953,0.25126
,,,,,,
27,1,0.4,0.25042,0.24968,0.24881,0.25109
,,,,,,
27,0.2,0.7,0.2463,0.24988,0.25126,0.25256
,,,,,,
27,0.6,0.7,0.25065,0.25047,0.24989,0.24899
,,,,,,
27,1,0.7,0.25189,0.25158,0.24805,0.24848
,,,,,,
28,0.2,0.1,0.2508,0.24851,0.25025,0.25044
,,,,,,
28,0.6,0.1,0.24953,0.24886,0.25175,0.24986
,,,,,,
28,1,0.1,0.25233,0.24885,0.24902,0.2498
,,,,,,
28,0.2,0.4,0.25148,0.24725,0.2519,0.24937
,,,,,,
28,0.6,0.4,0.25024,0.24858,0.24896,0.25222
,,,,,,
28,1,0.4,0.24994,0.24991,0.24885,0.2513
,,,,,,
28,0.2,0.7,0.25202,0.24835,0.24973,0.2499
,,,,,,
28,0.6,0.7,0.24917,0.24927,0.25064,0.25092
,,,,,,
28,1,0.7,0.25012,0.24784,0.25119,0.25085
,,,,,,
29,0.2,0.1,0.2496,0.25088,0.25317,0.24635
,,,,,,
29,0.6,0.1,0.25158,0.24734,0.25111,0.24997
,,,,,,
29,1,0.1,0.25052,0.24913,0.24852,0.25183
,,,,,,
29,0.2,0.4,0.25078,0.24963,0.2496,0.24999
,,,,,,
29,0.6,0.4,0.24888,0.25091,0.25182,0.24839
,,,,,,
29,1,0.4,0.25189,0.24971,0.24703,0.25137
,,,,,,
29,0.2,0.7,0.25058,0.24753,0.25093,0.25096
,,,,,,
29,0.6,0.7,0.24949,0.24845,0.25026,0.2518
,,,,,,
29,1,0.7,0.2504,0.25029,0.25027,0.24904
,,,,,,
30,0.2,0.1,0.24966,0.25013,0.25136,0.24885
,,,,,,
30,0.6,0.1,0.25034,0.25123,0.24942,0.24901
,,,,,,
30,1,0.1,0.25014,0.24942,0.24877,0.25167
,,,,,,
30,0.2,0.4,0.24935,0.24997,0.24926,0.25142
,,,,,,
30,0.6,0.4,0.24832,0.25176,0.25017,0.24975
,,,,,,
30,1,0.4,0.25042,0.25035,0.24904,0.25019
,,,,,,
30,0.2,0.7,0.25414,0.25176,0.24707,0.24703
,,,,,,
30,0.6,0.7,0.24994,0.25002,0.24945,0.25059
,,,,,,
30,1,0.7,0.25121,0.24968,0.24952,0.24959
,,,,,,
31,0.2,0.1,0.25162,0.25213,0.24828,0.24797
,,,,,,
31,0.6,0.1,0.24851,0.25288,0.24935,0.24926
,,,,,,
31,1,0.1,0.25041,0.24958,0.24924,0.25077
,,,,,,
31,0.2,0.4,0.25067,0.24898,0.2501,0.25025
,,,,,,
31,0.6,0.4,0.25028,0.25147,0.24954,0.24871
,,,,,,
31,1,0.4,0.2495,0.25075,0.24984,0.24991
,,,,,,
31,0.2,0.7,0.24856,0.25176,0.24916,0.25052
,,,,,,
31,0.6,0.7,0.24771,0.25311,0.24945,0.24973
,,,,,,
31,1,0.7,0.2508,0.25031,0.25047,0.24842
,,,,,,
32,0.2,0.1,0.25142,0.24897,0.24999,0.24962
,,,,,,
32,0.6,0.1,0.24983,0.24985,0.25176,0.24856
,,,,,,
32,1,0.1,0.24905,0.25179,0.24994,0.24922
,,,,,,
32,0.2,0.4,0.24881,0.24847,0.25224,0.25048
,,,,,,
32,0.6,0.4,0.25039,0.24825,0.24959,0.25177
,,,,,,
32,1,0.4,0.25138,0.24954,0.25076,0.24832
,,,,,,
32,0.2,0.7,0.25237,0.2502,0.24822,0.24921
,,,,,,
32,0.6,0.7,0.25189,0.24892,0.24968,0.24951
,,,,,,
32,1,0.7,0.25186,0.24919,0.24858,0.25037
,,,,,,
33,0.2,0.1,0.25019,0.24985,0.24953,0.25043
,,,,,,
33,0.6,0.1,0.24804,0.25075,0.25094,0.25027
,,,,,,
33,1,0.1,0.24967,0.25117,0.24992,0.24924
,,,,,,
33,0.2,0.4,0.25062,0.24861,0.25317,0.2476
,,,,,,
33,0.6,0.4,0.24971,0.24872,0.24999,0.25158
,,,,,,
33,1,0.4,0.2507,0.24996,0.2495,0.24984
,,,,,,
33,0.2,0.7,0.25132,0.24996,0.24798,0.25074
,,,,,,
33,0.6,0.7,0.25128,0.24978,0.24862,0.25032
,,,,,,
33,1,0.7,0.24806,0.24821,0.25369,0.25004
,,,,,,
34,0.2,0.1,0.24927,0.24998,0.25248,0.24827
,,,,,,
34,0.6,0.1,0.2497,0.25091,0.24969,0.2497
,,,,,,
34,1,0.1,0.25098,0.24889,0.25272,0.24741
,,,,,,
